id,name,debut
1,Acheron Surplice,
2,Alchemy Glove Chronotector V1,
3,Alcor Robe,
4,Alioth Robe,
5,Alraune Surplice,
6,Altar Cloth,
7,Anarchy Leaf,
8,Andromeda Cloth V1,
9,,
10,Andromeda Cloth V2,
11,Andromeda Cloth V3,
12,Andromeda God Cloth,
13,Ant Galaxy,
14,Ant Squad Galaxy,
15,Anthrakma Adamas,
16,Aparajita Sacred Sword,
17,Apus Cloth,
18,Aquarius Cloth,
19,Aquarius God Cloth,
20,Aquila Cloth,
21,Aquila Cloth V1 Omega,
22,Aquila Cloth V2 Omega,
23,Aquila Omega Cloth,
24,Ara Cloth,
25,Ares God Leaf,
26,Aries Cloth,
27,Aries God Cloth,
28,Arondight Sacred Sword,
29,Ars Magna,
30,Athena God Cloth,
31,Atrium Cloth,
32,Auriga Cloth,
33,Azoth Sacred Sword,
34,Bacchus Galaxy,
35,Balor,
36,Balron Surplice,
37,Banshee,
38,Baphomet Surplice,
39,Basic Steel Cloth,
40,Basilisk Surplice,
41,Bat Surplice,
42,Beetle Galaxy 1,
43,Beetle Galaxy 2,
44,Behemoth Surplice,
45,Benetnasch Robe,
46,Bennu Surplice,
47,Bhuj,
48,Black Terror,
49,Bootes Cloth,
50,Brionac Chronotector,
51,Brute Force Adamas,
52,Caelum Cloth,
53,Cait Sith Surplice,
54,Camelopardalis Cloth,
55,Cancer Cloth,
56,Cancer God Cloth,
57,Canes Venatici Cloth,
58,Canis Major Cloth,
59,Capricorn Cloth,
60,Capricorn God Cloth,
61,Carina Cloth,
62,Cassiopeia Cloth,
63,Cassiopeia Cloth Saintia,
64,Centaurus Cloth,
65,Cepheus Cloth,
66,Cerberus Cloth,
67,Cetus Cloth,
68,Cetus Surplice,
69,Slash Reaper Chronotector V1,
70,Chameleon Cloth,
71,Cherub Glory,
72,Chrysaor Scale,
73,Circinus Cloth,
74,Max Brilliants Chronotector,
75,Max Brilliants Chronotector,
76,Impulse Mace Chronotector,
77,Columba Cloth,
78,Coma Berenice Cloth,
79,Corona Australis Cloth,
80,Corona Borealis Cloth,
81,Corona Borealis Cloth Saintia,
82,Corvus Cloth,
83,Crater Cloth,
84,,
85,Crater Cloth Online,
86,Crux Cloth,
87,Crystal Cloth,
88,Current Soma,
89,Cyclops Surplice,
90,Cygnus Cloth V1,
91,Cygnus Cloth V1 Anime,
92,Cygnus Cloth V2,
93,Cygnus Cloth V3,
94,Cygnus God Cloth,
95,Daggers Chronotector,
96,Dark Lightning Soma,
97,Deadly Beetle Surplice,
98,Deadly Harlequin,
99,Soul Killer Chronotector,
100,Soul Killer Chronotector,
101,Deathwatch Chronotector,
102,Deep Surplice,
103,Delphinus Cloth,
104,Delphinus Cloth Ghost,
105,Delphinus Cloth Saintia,
106,Demon Twin Dog Adamas,
107,Diana Galaxy,
108,Dimension Soma,
109,Divine Justice Soma,
110,Dorado Cloth Omega,
111,Draco Cloth V1,
112,Draco Cloth V1 Anime,
113,Draco Cloth V1 Omega,
